num,url,orig_url,url_type,title,company,location,salary,description
1,https://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dpwng017giZKwiaXIZXKY8p5Lzpn0aY0NqQb71d3C_tEerV9ihACvcbnODmyjC6BfRQqqHEWxsfLs1ls3qRBCZ2dj8osRXkLLRYVppi7F00yFyinqdMr7M57zdpkr5ZhtRvt94b8_YZcPRxna_kogKMkO8MaI1RX-5of-Y0_XwQ9ueFt4XKVP7RX3ytMBIr2t9hpc4wmLTkKclhf0MM0Nl36xYzHiWsPnCWQWO0q9CJeITkLYZ8GPerj3YINHwQbQ27rlDLhttGh1HwzycTgvttKuD0Gh4mgOfSMbjVa6uCBYb3IEFiHfpu2PFVaLfQtG_DHH5QpFuAgnLZZ5uAa5M_P7-xL_dZVrzmoXLv_D3igHCEUV1IZHUQegBltu9UMquS0TECMRYrHEBaRk9L_7u1nIr5rWUhneBIA1aQ2sNRA==&p=0&fvj=0&vjs=3,https://apply.fdmgroup.com/displayjob.aspx?jobid=817,Other,Junior Software Development Consultant - New York,"

FDM Group","New York, NY",,"[<li style=""margin-bottom:0px;"">FDM consultants are working on exciting advancements in technology, including robotics, automation and more.</li>, <li>Comprehensive benefits including; Medical, Dental &amp;…</li>]"
2,https://indeed.com/rc/clk?jk=6370258f3b14b374&fccid=1b50fcfb150b1b48&vjs=3,https://nytimes.wd5.myworkdayjobs.com/en-US/NYT/job/New-York-NY/R-D-Engineering-Intern-at-The-New-York-Times--Spring-2021_REQ-008515-1,Myworkdayjob,"R&D Engineering Intern at The New York Times, Spring 2021","

The New York Times","New York, NY",,"[<li style=""margin-bottom:0px;"">With these insights, we develop <b>new</b> technical capabilities that can be employed in the service of journalism.</li>, <li>Recent R&amp;D intern projects have included exploring…</li>]"
3,https://indeed.com/rc/clk?jk=d4dc70baa2b1f8ea&fccid=de71a49b535e21cb&vjs=3,https://careers.ibm.com/ShowJob/Id/985047/Software%20Engineer%20Apprentice,Other,Software Engineer Apprentice,"

IBM","Poughkeepsie, NY 12601",,"[<li>Whether you are working on projects internally or for a client, <b>software</b> development is critical to the success of IBM and our clients worldwide.</li>]"
4,https://indeed.com/rc/clk?jk=cf54f045d851df17&fccid=80202a0b367a757b&vjs=3,https://boards.greenhouse.io/embark/jobs/2458819?gh_src=7059a2b91us,Greenhouse,Software Engineer,"

Embark","New York, NY",,"[<li style=""margin-bottom:0px;"">Exceptional programming skills and an obsession with building quality software.</li>, <li>You'll be building features across our entire <b>software</b> stack, modeling and…</li>]"
5,https://indeed.com/rc/clk?jk=a2c692cac48fca00&fccid=b4460b1bac9048e7&vjs=3,https://fcb.taleo.net/careersection/ex_garfinkel/jobdetail.ftl?job=2000043S&tz=GMT-06%3A00&tzname=America%2FChicago&src=JB-12345%E2%80%89%E2%80%89%E2%80%89,Other,New Business - 2021 Summer Internship,"

FCB Global","New York, NY",,"[<li style=""margin-bottom:0px;"">Maintain list of <b>new</b> business job numbers and budgets.</li>, <li>Assist with presentation support – PowerPoint and other <b>software</b> as necessary.</li>]"
6,https://indeed.com/rc/clk?jk=fa386a65e7be37ea&fccid=1b50fcfb150b1b48&vjs=3,https://nytimes.wd5.myworkdayjobs.com/en-US/NYT/job/New-York-NY/R-D-Intern-at-The-New-York-Times--Summer-2021_REQ-008514-1,Myworkdayjob,"R&D Intern at The New York Times, Summer 2021","

The New York Times","New York, NY",,"[<li style=""margin-bottom:0px;"">With these insights, we develop <b>new</b> technical capabilities that can be employed in the service of journalism.</li>, <li>Recent R&amp;D intern projects have included exploring…</li>]"
7,https://indeed.com/rc/clk?jk=afc4be4c86022383&fccid=044076f542c2a482&vjs=3,https://www.hashicorp.com/job/2240308?gh_jid=2240308&gh_src=fe91cb041us,Other,Software Engineer - Cloud Services Backend,"
HashiCorp",New York State,,"[<li style=""margin-bottom:0px;"">You have 3+ years of professional <b>software</b> development experience.</li>, <li>You have prior experience working in high performance or distributed systems; while we strive…</li>]"
8,https://indeed.com/rc/clk?jk=07d058e475b8ef58&fccid=4d4d72a724e8f720&vjs=3,http://www.orphandrugsolutions.com/jobs/software-developer/,Other,Software Developer,"
Orphan Drug Solutions","Farmingdale, NY 11735",,"[<li>We began our involvement in this niche for web based data tools over 12 years ago, (our <b>software</b> development experience goes back over 20 years), when it was in…</li>]"
9,https://indeed.com/rc/clk?jk=112592f3bb5728fc&fccid=47bb923403b99057&vjs=3,https://cmdtymkt.com/careers?gh_jid=4028465003&gh_src=53c25b053,Other,Software Engineer,"
Careers at CMDTY",New York State,,"[<li>We have tech experts who have built systems that handle millions of transactions per second, commodity experts with 60 years of combined experience in the…</li>]"
10,https://indeed.com/rc/clk?jk=5055e22e2c99f845&fccid=ae592812fa6e7300&vjs=3,https://boards.greenhouse.io/influxdb/jobs/2390530?gh_src=3e8d44db1us,Greenhouse,Engineering 2021 Summer Internship,"
InfluxData",New York State,,"[<li style=""margin-bottom:0px;"">Deployments: systems to support continuous delivery and integration of <b>new</b> <b>software</b> features for our SaaS product.</li>, <li>Storage: data storage and retrieval.</li>]"
11,https://indeed.com/rc/clk?jk=c822f48166e32998&fccid=0e7e5fe9219fd5cd&vjs=3,https://www.usajobs.gov:443/GetJob/ViewDetails/564349400,Other,IT Specialist (Customer Support),"

US Other Agencies and Independent Organizations","Buffalo, NY","
$59,315 - $93,638 a year","[<li>GS-11: Must have a doctorate or equivalent <b>graduate</b> degree in a related field, or 3 full years of related progressively higher level <b>graduate</b> education leading…</li>]"
12,https://indeed.com/rc/clk?jk=52b7239a3a23ef11&fccid=cad0c703787d24ae&vjs=3,"https://aisww.com/careers/#SoftwareDeveloper(Full-Time,Entry-Level)&ActiveInactive=Inactive",Other,"Software Developer (Full-Time, Entry-Level)","
Accelerated Information Systems","Hicksville, NY 11801",,[<li>Strong academic background and must be in current pursuit of undergraduate or <b>graduate</b> degree in computer science or related fields.</li>]
